code,name,credit_hours,lecture_hours,lab_hours,tutorial_hours,program_groups
2M2BIO 101,2M2BIO 101,3,2,0,0,GEN-Y1
2M2EDB 211//PHRM 2,2M2EDB 211//PHRM 2,3,2,3,0,GEN-Y1
2M2EDB 211//PHRM 222,2M2EDB 211//PHRM 222,3,2,3,0,GEN-Y1
9THEO 069/DCCM 06,9THEO 069/DCCM 06,3,3,0,0,ALL-Y1
9THEO 205/REST 121,9THEO 205/REST 121,3,3,0,0,ALL-Y1
ACCT 112,Introduction to Accounting,3,2,0,0,ACCT-Y1
ACCT 117,Introduction to Accounting,3,2,0,0,ACCT-Y1
ACCT 219,Intermediate Accounting,3,2,0,0,ACCT-Y2
ACCT 431,Special Topics in Accounting,4,2,0,0,ACCT-Y4
ACCT 433,Special Topics in Accounting,4,2,0,0,ACCT-Y4
AGEC 111,Introduction to Agricultural Economics,3,2,0,0,GEN-Y1
AGEC 313,Advanced Agricultural Economics,3,2,0,0,GEN-Y3
AGRI 101,Introduction to Agriculture,3,2,2,0,AGRIC-Y1
AGRI 102,Introduction to Agriculture,3,2,2,0,AGRIC-Y1
AGSM 326,Advanced AGSM,3,2,0,0,GEN-Y3
AGTE 321,Advanced Agricultural Technology,3,2,0,0,GEN-Y3
AGTE 323,Advanced Agricultural Technology,3,2,0,0,GEN-Y3
ANSC 250,Intermediate Animal Science,3,2,2,0,AGRIC-Y2
ANSC 251,Intermediate Animal Science,3,2,2,0,AGRIC-Y2
ANSC 351,Advanced Animal Science,3,2,2,0,AGRIC-Y3
ANSC 353,Advanced Animal Science,3,2,2,0,AGRIC-Y3
BBIT 111/CISY 101/MISC 116,Introduction to Business Information Technology,3,2,3,0,BBIT-Y1
BBIT 112/CISY 201,Introduction to Business Information Technology,3,2,3,0,BBIT-Y1
BBIT 121/CISY 110,Introduction to Business Information Technology,3,2,3,0,BBIT-Y1
BBIT 121/CISY 110/COMP 110,Introduction to Business Information Technology,3,2,3,0,BBIT-Y1
BBIT 222/CISY 111/COMP 111,Intermediate Business Information Technology,3,2,3,0,BBIT-Y2
BBIT 316/CISY 302,Advanced Business Information Technology,3,2,3,0,BBIT-Y3
BBIT 417/CISY 403,Special Topics in Business Information Technology,4,2,3,0,BBIT-Y4
BBIT 438/CISY 421/MISC 322,Special Topics in Business Information Technology,4,2,3,0,BBIT-Y4
BBIT 446/CISY 332,Special Topics in Business Information Technology,4,2,3,0,BBIT-Y4
BIOC 201,Intermediate BIOC,3,2,0,0,GEN-Y2
BIOC/HSCI 301,Advanced BIOC,3,2,0,0,GEN-Y3
BIOL 230,Intermediate Biology,3,2,3,0,BIO-Y2
BIOL 310,Advanced Biology,3,2,3,0,BIO-Y3
BIOL 330,Advanced Biology,3,2,3,0,BIO-Y3
BIOL 425,Special Topics in Biology,4,2,3,0,BIO-Y4
BIOL 426,Special Topics in Biology,4,2,3,0,BIO-Y4
BIOL 427,Special Topics in Biology,4,2,3,0,BIO-Y4
BOTN 101,Introduction to Botany,3,2,0,0,GEN-Y1
BOTN 201,Intermediate Botany,3,2,0,0,GEN-Y2
BOTN 205,Intermediate Botany,3,2,0,0,GEN-Y2
BSCM 111,Introduction to Biological Sciences,3,2,0,0,GEN-Y1
BSCM 112,Introduction to Biological Sciences,3,2,0,0,GEN-Y1
BSCM 123,Introduction to Biological Sciences,3,2,0,0,GEN-Y1
BSCM 210,Intermediate Biological Sciences,3,2,0,0,GEN-Y2
BSCM 212,Intermediate Biological Sciences,3,2,3,0,GEN-Y2
BSCM 213 3HRS,Intermediate Biological Sciences,3,2,0,0,GEN-Y2
BSCM 214,Intermediate Biological Sciences,3,2,0,0,GEN-Y2
BSCM 215,Intermediate Biological Sciences,3,2,0,0,GEN-Y2
BSCM 310,Advanced Biological Sciences,3,2,0,0,GEN-Y3
BSCM 311,Advanced Biological Sciences,3,2,0,0,GEN-Y3
BSCM 312,Advanced Biological Sciences,3,2,0,0,GEN-Y3
BSCM 312 KANAKE,Advanced Biological Sciences,3,2,0,0,GEN-Y3
BSCM 313,Advanced Biological Sciences,3,2,0,0,GEN-Y3
BUSS 100,Introduction to Business,3,2,0,0,BUSS-Y1
BUSS 212,Intermediate Business,3,2,0,0,BUSS-Y2
BUSS 221,Intermediate Business,3,2,0,0,BUSS-Y2
BUSS 326,Advanced Business,3,2,0,0,BUSS-Y3
BUSS 327,Advanced Business,3,2,0,0,BUSS-Y3
BUSS 342,Advanced Business,3,2,0,0,BUSS-Y3
BUSS 426,Special Topics in Business,4,2,0,0,BUSS-Y4
BUSS100,Introduction to Business,3,2,0,0,BUSS-Y1
CE D1U14C/ 1E2D2U/CE D2U14C 014/EDUC 114/EDUC 214,Introduction to CE,3,3,0,0,GEN-Y1
CHEM 101,Introduction to Chemistry,3,2,3,0,CHEM-Y1
CHEM 212,Intermediate Chemistry,3,2,3,0,CHEM-Y2
CHEM 214,Intermediate Chemistry,3,2,3,0,CHEM-Y2
CHEM 313,Advanced Chemistry,3,2,3,0,CHEM-Y3
CHEM 314,Advanced Chemistry,3,2,3,0,CHEM-Y3
CHEM 321,Advanced Chemistry,3,2,3,0,CHEM-Y3
CHEM 410,Special Topics in Chemistry,4,2,3,0,CHEM-Y4
CHEM 412,Special Topics in Chemistry,4,2,3,0,CHEM-Y4
CISY 303,Advanced Computer Information Systems,3,2,3,0,IT-Y3
CLEANING,CLEANING,3,2,0,0,GEN-Y1
COMM 111,Introduction to Communication,3,2,0,1,ALL-Y1
COMP 100,Introduction to Computer Science,3,2,3,0,CS-Y1
COSM 326,Advanced Physical Science,3,2,0,0,GEN-Y3
COUN 100/SOST 136,Introduction to Counseling,3,2,0,0,PSYCH-Y1
COUN 115,Introduction to Counseling,3,2,0,0,PSYCH-Y1
COUN 125,Introduction to Counseling,3,2,0,0,PSYCH-Y1
COUN 325,Advanced Counseling,3,2,0,0,PSYCH-Y3
COUN 355,Advanced Counseling,3,2,0,0,PSYCH-Y3
COUN 404,Special Topics in Counseling,4,2,0,0,PSYCH-Y4
CROP 245,Intermediate Crop Science,3,2,2,0,AGRIC-Y2
CROP 341,Advanced Crop Science,3,2,2,0,AGRIC-Y3
DBIT 126/DCIS 107,Introduction to DBIT,3,2,0,0,GEN-Y1
DCIS 207/DBIT 227,Intermediate DCIS,3,2,0,0,GEN-Y2
DICM 111,Introduction to Communication,3,2,0,0,GEN-Y1
DICM 112,Introduction to Communication,3,2,0,0,GEN-Y1
DICM 113,Introduction to Communication,3,2,0,0,GEN-Y1
DICM 133,Introduction to Communication,3,2,0,0,GEN-Y1
DICM 211,Intermediate Communication,3,2,0,0,GEN-Y2
DICM 212,Intermediate Communication,3,2,0,0,GEN-Y2
DICM 213,Intermediate Communication,3,2,0,0,GEN-Y2
