name,capacity,type,equipment
ONLINE,1000,Classroom,"Audio System,Projector,Whiteboard"
CHAPEL,500,Lecture Hall,"Audio System,Biology Equipment,Microphone,Microscopes,Musical Instruments,Projector,Whiteboard"
TLH1 - (TLH),250,Lecture Hall,"Audio System,Biology Equipment,Microphone,Microscopes,Pharmacy Equipment,Physics Equipment,Projector,Whiteboard"
TLH2 - (TLH),180,Lecture Hall,"Audio System,Microphone,Physics Equipment,Projector,Whiteboard"
MPH,150,Multi-Purpose Hall,"Audio System,Computers,Internet,Medical Equipment,Microphone,Nursing Mannequins,Projector,Whiteboard"
F2-1 - (SC),80,Classroom,"Biology Equipment,Chemistry Equipment,Fume Hood,Medical Equipment,Microscopes,Nursing Mannequins,Pharmacy Equipment,Physics Equipment,Projector,Whiteboard"
GF1 - (SC),80,Classroom,"Biology Equipment,Medical Equipment,Microscopes,Nursing Mannequins,Projector,Whiteboard"
GF2 - (SC),80,Classroom,"Biology Equipment,Medical Equipment,Microscopes,Nursing Mannequins,Pharmacy Equipment,Projector,Whiteboard"
F2-2 - (SC),80,Classroom,"Biology Equipment,Microscopes,Pharmacy Equipment,Projector,Whiteboard"
CBR1 - (CH),70,Classroom,"Audio System,Biology Equipment,Microscopes,Physics Equipment,Projector,Whiteboard"
CBR2 - (CH),70,Classroom,"Audio System,Biology Equipment,Microscopes,Projector,Whiteboard"
TENT - (SC),60,Classroom,"Projector,Whiteboard"
CL3 - (SC),60,Classroom,"Computers,Internet,Projector,Whiteboard"
L1 - (LB),60,Classroom,"Audio System,Projector,Whiteboard"
L5 - (LB),60,Classroom,"Audio System,Projector,Whiteboard"
L2 - (LB),60,Classroom,"Projector,Whiteboard"
L6 - (LB),60,Classroom,"Audio System,Biology Equipment,Microscopes,Projector,Whiteboard"
L4 - (LB),60,Classroom,"Audio System,Projector,Whiteboard"
HA - (SB),60,Classroom,"Projector,Whiteboard"
CL1 - (SC),60,Classroom,"Computers,Internet,Projector,Whiteboard"
CL2 - (SC),60,Classroom,"Computers,Internet,Projector,Whiteboard"
GCL (2.1) (SC),60,Classroom,"Medical Equipment,Nursing Mannequins,Projector,Whiteboard"
PAVILION,60,Classroom,"Biology Equipment,Microscopes,Projector,Whiteboard"
MBL-(SC),60,Classroom,"Medical Equipment,Nursing Mannequins,Projector,Whiteboard"
AU - (AD),50,Classroom,"Biology Equipment,Chemistry Equipment,Fume Hood,Medical Equipment,Microscopes,Nursing Mannequins,Pharmacy Equipment,Projector,Whiteboard"
1D2 - (AD),50,Classroom,"Biology Equipment,Medical Equipment,Microscopes,Nursing Mannequins,Physics Equipment,Projector,Whiteboard"
1D1 - (AD),50,Classroom,"Biology Equipment,Chemistry Equipment,Fume Hood,Medical Equipment,Microscopes,Nursing Mannequins,Pharmacy Equipment,Physics Equipment,Projector,Whiteboard"
1D3 - (AD),50,Classroom,"Biology Equipment,Medical Equipment,Microscopes,Nursing Mannequins,Pharmacy Equipment,Physics Equipment,Projector,Whiteboard"
KH2,40,Seminar Room,"Biology Equipment,Microscopes,Pharmacy Equipment,Projector,Whiteboard"
KH1,40,Seminar Room,"Physics Equipment,Projector,Whiteboard"
BHL- (SC),40,Lab,"Lab Equipment,Medical Equipment,Nursing Mannequins,Projector"
BCL - (SC),40,Lab,"Lab Equipment,Projector"
G1 (LC),30,Lab,"Chemistry Equipment,Fume Hood,Physics Equipment,Projector"
PHARMACOGN. (LC),30,Science Lab,"Drug Samples,Lab Equipment,Pharmacy Equipment,Projector,Safety Equipment"
PHL/HIST- (LC),30,Lab,"Lab Equipment,Projector"
SKILLS LAB(SC),30,Lab,"Lab Equipment,Projector"
MICRO/PAR- (LC),30,Lab,"Lab Equipment,Projector"
NEW LAB3,30,Lab,"Lab Equipment,Projector"
